iter,val,proj,gnorm,dnorm,xnorm,step,maxstep
1.0,5.000000000007276,1.0,3952.333931792201,219.34878063774138,15.811388300841896,0.023341423782035155,0.023341423782035155
2.0,-1089.831726714241,2.0,3950.811149426414,207.4648565222532,16.61264859382581,2.2892881774802847e-05,2.2892881774802847e-05
3.0,-1090.8170515333259,2.0,3950.8098492776503,206.44958021817177,16.614112157916097,0.0008650258023960596,0.0008650258023960596
4.0,-1127.6530720445407,2.0,3950.7617611036117,205.14157943707917,16.669240244300372,2.4621997263826512e-05,2.4621997263826512e-05
5.0,-1128.6892153001972,2.0,3950.760425430176,204.18409407296085,16.67083179487431,6.646838816489564e-05,6.646838816489564e-05
6.0,-1131.4601705431633,2.0,3950.75689470468,203.20786047944435,16.675056273145355,2.4757412777443242e-05,2.4757412777443242e-05
7.0,-1132.482463454864,2.0,3950.755607765382,202.2446813416645,16.676632023638803,0.003282027318397399,0.003282027318397399
8.0,-1266.277763491853,2.0,3950.589047447221,200.1435667044672,16.893526501945473,3.1879253422272206e-05,3.1879253422272206e-05
9.0,-1267.5547239367625,2.0,3950.5874821062416,199.3780285114932,16.89573208890016,0.00039768338141342934,0.00039768338141342934
10.0,-1283.356907693218,2.0,3950.5683034112976,198.46599594153346,16.923011916258503,3.2480507475647585e-05,3.2480507475647585e-05
11.0,-1284.6362322863388,2.0,3950.566735523352,197.69881015218436,16.925252434928645,0.0006690134430608947,0.0006690134430608947
12.0,-1310.766668762073,2.0,3950.5343676326875,196.721839416766,16.9711885057254,3.446905189526053e-05,3.446905189526053e-05
13.0,-1312.1005565881824,2.0,3950.532737201856,195.99839912729328,16.973576239485464,0.0013214103813042844,0.0013214103813042844
14.0,-1362.794779887441,2.0,3950.4715228868135,194.81566687844983,17.065571392040333,1.0074802217522529e-05,1.0074802217522529e-05
15.0,-1363.177146406968,2.0,3950.471047199771,194.1552501624981,17.066283942933463,2.7564152611891317e-05,2.7564152611891317e-05
16.0,-1364.216183009812,2.0,3950.469770142916,193.48289821053032,17.06823424429111,1.0158240622449928e-05,1.0158240622449928e-05
17.0,-1364.5964592522323,2.0,3950.4692875866895,192.8169545212137,17.06894372264728,0.001148207240935236,0.001148207240935236
18.0,-1407.235122702743,2.0,3950.4157972920866,191.7487824606774,17.14930969164281,4.0662891231184804e-05,4.0662891231184804e-05
19.0,-1408.7301380069584,2.0,3950.4139476785163,191.11299140274517,17.152194014914787,2.957827448114034e-05,2.957827448114034e-05
20.0,-1409.8104277112907,2.0,3950.4126276224415,190.47934114808527,17.15426702063269,4.076384683560959e-05,4.076384683560959e-05
21.0,-1411.2893761839587,2.0,3950.410843249366,189.83977773692536,17.157126089306466,0.00199109965191612,0.00199109965191612
22.0,-1482.9021940231723,2.0,3950.325504860243,188.5193526297625,17.29861438008657,4.617768356018607e-05,4.617768356018607e-05
