iter,val,proj,gnorm,dnorm,xnorm,step,maxstep
1.0,20.00000000000182,1.0,2497.373470872949,142.3500605049397,10.0,0.02749721453216791,0.02749721453216791
2.0,-520.8139498515011,2.0,2496.4861333363333,132.93119420578108,10.687436975460807,0.0003250613766156035,0.0003250613766156035
3.0,-526.5560788231542,2.0,2496.476985397058,131.7581135466398,10.7028557987641,0.0006053927881424241,0.0006053927881424241
4.0,-537.0591984020739,2.0,2496.46030374523,130.5270484348452,10.730994514355523,0.00034395952525265676,0.00034395952525265676
5.0,-542.9172632287155,2.0,2496.451085758317,129.38084901904557,10.747188256101273,0.002434581487254737,0.002434581487254737
6.0,-583.5675318354224,2.0,2496.387680157215,127.81512148186835,10.862536337277747,0.00017308163658613377,0.00017308163658613377
7.0,-586.3946109521858,2.0,2496.3833223526963,126.86831196682313,10.870990919993805,0.00023951024569303164,0.00023951024569303164
8.0,-590.2487192891585,2.0,2496.3774086348444,125.89694985518838,10.882747024618142,0.00017936493270670725,0.00017936493270670725
9.0,-593.0911355150674,2.0,2496.3730934247205,124.9510295068216,10.891342124272624,0.00014626432074048445,0.00014626432074048445
10.0,-595.3743786877076,2.0,2496.369645333495,124.01216527811636,10.898174369948604,0.0004318360911839306,0.0004318360911839306
11.0,-602.0126490117982,2.0,2496.359528168737,123.01446866167792,10.9184852047324,0.0008327907129725904,0.0008327907129725904
12.0,-614.6040974896678,2.0,2496.3401650891774,122.01516225763051,10.957104807469376,6.972226960118772e-05,6.972226960118772e-05
13.0,-615.6420276292429,2.0,2496.338533074373,121.13182402853354,10.96037055121594,4.28753050397505e-05,4.28753050397505e-05
14.0,-616.2711060838119,2.0,2496.3375543476,120.24673048596155,10.962380548815121,0.0003740346570254694,0.0003740346570254694
15.0,-621.6773356414888,2.0,2496.3292349970484,119.37847508561026,10.979994580039133,4.665662014932171e-05,4.665662014932171e-05
16.0,-622.3422179017616,2.0,2496.328187906352,118.50240212910455,10.982143634385446,4.3948482382291026e-05,4.3948482382291026e-05
17.0,-622.9593507604404,2.0,2496.3272268451574,117.6182482021681,10.984111875776053,0.0001042792457721481,0.0001042792457721481
18.0,-624.4018003769324,2.0,2496.3250067499534,116.71311266218372,10.988651733992864,0.0004781065646312342,0.0004781065646312342
19.0,-630.9113612310193,2.0,2496.315108489545,115.73254340730755,11.009600690344984,0.000879791699056433,0.000879791699056433
20.0,-642.6846405657543,2.0,2496.297437590269,114.68736774706376,11.047586212883834,0.0005150264384465136,0.0005150264384465136
21.0,-649.4553196033685,2.0,2496.2874161270583,113.74482440096499,11.07013938525209,0.0010164433977860393,0.0010164433977860393
22.0,-662.5922097470611,2.0,2496.2682449275117,112.8641788226254,11.114100024315038,0.0006191337290386124,0.0006191337290386124
23.0,-670.4739584926319,2.0,2496.257983491513,112.09315797088576,11.141331438212196,0.0009488322920952072,0.0009488322920952072
24.0,-682.3843588530654,2.0,2496.2443673252483,111.14849563609565,11.182731760935845,0.0006109721855677987,0.0006109721855677987
25.0,-689.9276216096205,2.0,2496.2359275767503,110.29762590850652,11.20977236102995,0.0014603502833246853,0.0014603502833246853
26.0,-707.6671226208982,2.0,2496.2165190454084,109.29893337392103,11.274038472993558,0.0006772752871869282,0.0006772752871869282
27.0,-715.7524738147276,2.0,2496.2078474993614,108.49352547876445,11.304384281634578,0.0007003932935776046,0.0007003932935776046
28.0,-723.990814104096,2.0,2496.1991911734563,107.7122733732362,11.335385317905866,6.603778933919166e-05,6.603778933919166e-05
29.0,-724.7569289469229,2.0,2496.198389890409,107.16693776994667,11.338324133506257,4.671381724671031e-05,4.671381724671031e-05
30.0,-725.2934003320224,2.0,2496.19781633805,106.50981851079953,11.340405988990439,0.0002460519325856089,0.0002460519325856089
31.0,-728.0840097153068,2.0,2496.194904803082,105.7888366703708,11.351394097827791,0.000118234186862911,0.000118234186862911
32.0,-729.4070447517952,2.0,2496.1934822486287,105.11267134016201,11.356686094395156,0.00025147078806960014,0.00025147078806960014
33.0,-732.1847683973338,2.0,2496.190568779861,104.42616727172579,11.367969706830973,0.00010606115295399631,0.00010606115295399631
34.0,-733.3412239326608,2.0,2496.1893618777012,103.749031044157,11.37263104308499,3.503873622116985e-05,3.503873622116985e-05
35.0,-733.7183627340346,2.0,2496.188978715567,103.22491864170543,11.374135588989548,5.807886657570361e-05,5.807886657570361e-05
36.0,-734.3371790025121,2.0,2496.1883352038926,102.55235315830694,11.376580104365598,0.00014703394083312508,0.00014703394083312508
37.0,-735.8833042833667,2.0,2496.1867710746496,101.8363122863822,11.382775466038725,0.0001329330452374724,0.0001329330452374724
38.0,-737.2617177600023,2.0,2496.18533063925,101.14112012589358,11.388246979877515,0.0004619708118250597,0.0004619708118250597
39.0,-741.9852235261224,2.0,2496.180532244408,100.38366081986062,11.406873186450474,0.000515628011983479,0.000515628011983479
40.0,-747.1783825461061,2.0,2496.1754122883485,99.7825127474049,11.427291240972854,0.0002252707460491701,0.0002252707460491701
41.0,-749.4207834776607,2.0,2496.173133769977,99.08799965997679,11.436270441655951,0.0006784033366539432,0.0006784033366539432
42.0,-756.077031506964,2.0,2496.1665714052056,98.4710916845362,11.463494975621881,6.46873633748228e-05,6.46873633748228e-05
43.0,-756.7042345741156,2.0,2496.165934076127,97.82355926073802,11.466051321361425,4.86811117782618e-05,4.86811117782618e-05
44.0,-757.170062892028,2.0,2496.165469361441,97.17276416225114,11.467975215860985,9.18888070466664e-05,9.18888070466664e-05
45.0,-758.0376454903198,2.0,2496.164631262,96.67350608026867,11.47151809041441,0.0006781424293453008,0.0006781424293453008
46.0,-764.3710220139274,2.0,2496.1583134270763,95.91269488115351,11.497858962579766,2.850827931143645e-05,2.850827931143645e-05
47.0,-764.6332689906976,2.0,2496.1580570449273,95.43965920104202,11.49894328392312,0.00022724750093476974,0.00022724750093476974
48.0,-766.7027246595899,2.0,2496.1560328110486,94.76645659472821,11.507612932994322,1.8979713114765496e-05,1.8979713114765496e-05
49.0,-766.8731721325439,2.0,2496.1558717045677,94.29164216646106,11.508337508137691,1.964789448268426e-05,1.964789448268426e-05
50.0,-767.0478563691413,2.0,2496.155700963746,93.8117002566803,11.509072313339258,0.0007206610903197982,0.0007206610903197982
51.0,-773.3854931032547,2.0,2496.149295986045,93.21202703148289,11.536216037647502,0.00010137344188157835,0.00010137344188157835
52.0,-774.2661834849969,2.0,2496.1484053293952,92.57908628693781,11.539976284524423,0.00017098930388374377,0.00017098930388374377
53.0,-775.7314565966644,2.0,2496.1469729888854,92.08043278174613,11.546168245469461,7.688516699488906e-06,7.688516699488906e-06
54.0,-775.7966455224814,2.0,2496.146907068967,91.46184267949307,11.546441039011896,0.0009000546800892746,0.0009000546800892746
55.0,-783.3189033488652,2.0,2496.1395601832187,90.69159560770647,11.578597216963495,0.0007536144788728221,0.0007536144788728221
56.0,-789.5125435232567,2.0,2496.133731895381,89.95968716872869,11.60514223595118,0.0004992728841620036,0.0004992728841620036
57.0,-793.550966877825,2.0,2496.130077761874,89.43606379550987,11.62286919211762,0.00010827368964159112,0.00010827368964159112
58.0,-794.4169319686498,2.0,2496.1292651447425,88.98190524626187,11.62673172828667,0.00035527156754571387,0.00035527156754571387
59.0,-797.2288804073087,2.0,2496.1265295184853,88.34250687004648,11.639460008723908,0.0006792256364399477,0.0006792256364399477
60.0,-802.526153640918,2.0,2496.121570452314,87.79894697660806,11.663362620192018,0.00011317540517629448,0.00011317540517629448
61.0,-803.3984826241322,2.0,2496.120723875451,87.35482286936411,11.667284522935155,0.0015985225382701693,0.0015985225382701693
62.0,-815.5765137545714,2.0,2496.1084747294717,86.66428560315968,11.722284525468169,0.0010039220894838155,0.0010039220894838155
63.0,-823.108919287215,2.0,2496.1006354467604,86.12191042999532,11.757440962517773,0.00026864015663978144,0.00026864015663978144
64.0,-825.1008774809488,2.0,2496.09866734982,85.68308511336272,11.766925378342824,0.0005366685483959817,0.0005366685483959817
65.0,-829.0387305281565,2.0,2496.094638394003,85.20097606571328,11.785613051240341,0.0005619056411495248,0.0005619056411495248
66.0,-833.115402156538,2.0,2496.09032150123,84.7477426548123,11.805328683786877,9.917838748595378e-05,9.917838748595378e-05
67.0,-833.827648030654,2.0,2496.0896051639593,84.34349439875626,11.80875777873452,0.00039622870441212725,0.00039622870441212725
68.0,-836.6452299603134,2.0,2496.0866695487694,83.86776048755968,11.82251186147611,8.502724728364224e-05,8.502724728364224e-05
69.0,-837.2432435516439,2.0,2496.0860709691524,83.3796452043786,11.825472884598744,0.00014823247043107716,0.00014823247043107716
70.0,-838.2736272954935,2.0,2496.0850768673276,82.9692178115103,11.830639148958499,5.7358446270166324e-05,5.7358446270166324e-05
71.0,-838.6684540381048,2.0,2496.0846843114787,82.55189474245132,11.832641637283237,1.7512720368474417e-06,1.7512720368474417e-06
72.0,-838.6803886127527,2.0,2496.0846731770307,82.1576077756891,11.832702831756155,9.299765076372205e-05,9.299765076372205e-05
73.0,-839.3080523358312,2.0,2496.084064340899,81.72182836825068,11.835893012434493,0.0005943911612912857,0.0005943911612912857
74.0,-843.2753526141314,2.0,2496.079896242093,81.23824374869325,11.856362599732954,0.0002190864963595914,0.0002190864963595914
75.0,-844.7209351267957,2.0,2496.0783225182895,80.69523793508677,11.86379645415881,0.0001484624726130583,0.0001484624726130583
76.0,-845.6875387274413,2.0,2496.0772063713616,80.20775095494783,11.868841366434829,5.673488410042847e-06,5.673488410042847e-06
77.0,-845.7240376814461,2.0,2496.077165187598,79.7962531371693,11.869034195210732,2.2708010372975214e-06,2.2708010372975214e-06
78.0,-845.7384968425049,2.0,2496.077149503657,79.32308138355249,11.869109862730255,0.00012106203608574113,0.00012106203608574113
79.0,-846.5001446179904,2.0,2496.0763522080715,78.82686385715894,11.873056635855118,0.00016519221050741016,0.00016519221050741016
80.0,-847.5264254979484,2.0,2496.0753177868055,78.41504866260637,11.878448075807478,2.6174090498743753e-05,2.6174090498743753e-05
81.0,-847.6873636461332,2.0,2496.075150406788,78.00142138917228,11.879286364545743,8.20530416323179e-05,8.20530416323179e-05
82.0,-848.1865507856546,2.0,2496.0746645714876,77.56600080700338,11.881861918854197,0.0006108301421625893,0.0006108301421625893
83.0,-851.8593413403632,2.0,2496.070768921399,77.084834195751,11.900696974835004,4.9819641770887056e-05,4.9819641770887056e-05
84.0,-852.1553584509711,2.0,2496.070443292949,76.62599094807327,11.9022389122175,4.8429644844899436e-05,4.8429644844899436e-05
85.0,-852.4397015508348,2.0,2496.07009718078,76.09626047623793,11.903737916515436,0.00021982913741096572,0.00021982913741096572
86.0,-853.7123700454467,2.0,2496.0684520150403,75.5875894003864,11.910384683185878,8.988363926440394e-05,8.988363926440394e-05
87.0,-854.22587185675,2.0,2496.067802152185,75.08958514395825,11.913041072169829,3.815291120417614e-05,3.815291120417614e-05
88.0,-854.4409866927745,2.0,2496.067538234886,74.59427894224454,11.914168618910006,0.0009690477297581526,0.0009690477297581526
89.0,-859.8277570532264,2.0,2496.061144757818,73.96730412936449,11.942281130358946,2.912828091930892e-05,2.912828091930892e-05
90.0,-859.9871179167967,2.0,2496.060962240749,73.49898039829557,11.943129487396602,0.00010135587215933674,0.00010135587215933674
91.0,-860.5345966000714,2.0,2496.0602657011304,73.11593587450005,11.946011265633294,0.000221797672280008,0.000221797672280008
92.0,-861.7200474004385,2.0,2496.0587058252395,72.67964790074714,11.952198092703084,1.6470203685932327e-05,1.6470203685932327e-05
93.0,-861.8070470066086,2.0,2496.0585984371232,72.19142109571338,11.952658386143103,0.00045170904690847294,0.00045170904690847294
