iter,val,proj,gnorm,dnorm,step,maxstep
1.0,3745.078283433133,0.0,4343.811321891426,17.114458669697843,1.0,1.0
2.0,-688.0510199127311,0.0,4340.836056721498,4.127147592527601,0.6858683044234316,1.0
3.0,-697.8476745868866,0.0,4340.869561622906,1.3927618951889897,0.7490060539659447,1.0
4.0,-699.6375206803677,0.0,4340.859532258182,0.5746549818738339,0.6702819750568243,1.0
5.0,-700.0295875707798,0.0,4340.909301543633,0.2150654526408602,1.0,1.0
6.0,-700.2107106564381,0.0,4340.900495335778,0.10105862664173391,0.7620579091643491,1.0
7.0,-700.2184646501591,0.0,4340.911949688507,0.04349189585761729,1.0,1.0
8.0,-700.2208740393908,0.0,4340.912188609586,0.02838415536487442,1.0,1.0
9.0,-700.2217308625077,0.0,4340.912624731839,0.015625792547239795,0.9999660873904151,43.06460225392723
10.0,-700.221852941042,0.0,4340.914708426622,6.547911616461908e-05,0.0,0.0
