iter,val,proj,gnorm,dnorm,step,maxstep
1.0,9986.875422488349,1.0,3614.3639960576065,732.4652894223241,0.0107014309514375,0.0107014309514375
2.0,4249.871825891727,2.0,3613.603282098098,729.9009283370109,0.0002650004573191799,0.0002650004573191799
3.0,4108.6938635850765,2.0,3613.585964066598,728.4717499133274,0.0007178054124274614,0.0007178054124274614
4.0,3727.7928762499832,2.0,3613.5385806064614,727.1623000395155,0.0003159614134404455,0.0003159614134404455
5.0,3560.726865642888,2.0,3613.51846342627,725.9499618048782,0.00017019543871033465,0.00017019543871033465
6.0,3471.034247539269,2.0,3613.5079925707405,724.7779891320098,0.000195334351106414,0.000195334351106414
7.0,3368.425730074554,2.0,3613.4963221795147,723.6361605293899,2.854674273753562e-05,2.854674273753562e-05
8.0,3353.4772742569403,2.0,3613.49467459188,722.5149148304871,6.704865564310616e-05,6.704865564310616e-05
9.0,3318.4761506965424,2.0,3613.4908679919845,721.3926672024951,6.0791202416082716e-05,6.0791202416082716e-05
10.0,3286.84007261188,2.0,3613.487537063952,720.3152367505712,2.6111868969098044e-05,2.6111868969098044e-05
11.0,3273.2918446043177,2.0,3613.4861363417444,719.209807059835,2.665464165500626e-05,2.665464165500626e-05
12.0,3259.5044126412704,2.0,3613.484751452154,718.1030319193001,0.00019017750701940233,0.00019017750701940233
13.0,3161.436266516106,2.0,3613.4752424791636,717.0623056499697,3.9256936594497154e-05,3.9256936594497154e-05
14.0,3141.251244001426,2.0,3613.4733405010757,715.9904259559474,2.516317872030128e-05,2.516317872030128e-05
15.0,3128.3515524088107,2.0,3613.4721674022708,714.9649477621653,9.158098186944067e-06,9.158098186944067e-06
16.0,3123.670165058703,2.0,3613.471728837201,713.8976758469075,0.00014999710176447908,0.00014999710176447908
17.0,3047.2247828416885,2.0,3613.4648302614355,712.8394274003344,7.502919551554165e-05,7.502919551554165e-05
18.0,3009.0995978661167,2.0,3613.461522187874,711.8439854624133,2.6251002464896544e-06,2.6251002464896544e-06
19.0,3007.769402375563,2.0,3613.4614166600863,710.8066375702441,5.813529442935947e-06,5.813529442935947e-06
20.0,3004.832140347574,2.0,3613.461193312077,709.8179520458489,2.5510334195865376e-05,2.5510334195865376e-05
21.0,2991.978991971996,2.0,3613.4602064122455,708.7805602401191,5.257416423158439e-05,5.257416423158439e-05
22.0,2965.5673878816033,2.0,3613.458269814919,707.7451971445662,5.544577978671276e-06,5.544577978671276e-06
23.0,2962.790091472003,2.0,3613.4580758281745,706.7647848512302,4.449565551970322e-05,4.449565551970322e-05
24.0,2940.563830095959,2.0,3613.4564627595632,705.7351927037475,5.0022929990954515e-05,5.0022929990954515e-05
25.0,2915.6493650423563,2.0,3613.4547278566324,704.7083712696451,0.00011195240736233468,0.00011195240736233468
26.0,2860.0525595526824,2.0,3613.4510509570528,703.6899676747582,5.12916800426158e-06,5.12916800426158e-06
