iter,val,proj,gnorm,dnorm,xnorm,step,maxstep
1.0,3.0000000000000284,1.0,458.43732007091563,192.91809779220077,1.2247448713915885,0.0034284084290428125,0.0034284084290428125
2.0,-123.3016787150926,2.0,456.8940002264208,188.45633099683573,1.3845151491169105,4.8087345542049884e-05,4.8087345542049884e-05
3.0,-125.00929699272135,2.0,456.87308893877224,187.86181713185627,1.3887758292515096,2.039078759240243e-05,2.039078759240243e-05
4.0,-125.72888663078794,2.0,456.86423003773467,187.30739787770202,1.3905749018390816,3.432942461857807e-05,3.432942461857807e-05
5.0,-126.93318054160491,2.0,456.8493872454725,186.74029149290277,1.3936217943666098,3.352315119209603e-07,3.352315119209603e-07
6.0,-126.94487070205193,2.0,456.8492425915846,186.2071359262497,1.3936516543510729,1.546761063165052e-05,1.546761063165052e-05
7.0,-127.48115624219324,2.0,456.8425774558736,185.66361759660518,1.395031710503977,3.4931643724775275e-05,3.4931643724775275e-05
8.0,-128.68516036502692,2.0,456.8275969654975,185.10138613838268,1.398129785257359,3.263353682588817e-07,3.263353682588817e-07
9.0,-128.69634142737024,2.0,456.82745729623747,184.57347073772624,1.3981585044930973,1.4602090418028604e-05,1.4602090418028604e-05
10.0,-129.19377470794038,2.0,456.82121637219825,184.03804182839718,1.3994309557776123,4.725937960599706e-06,4.725937960599706e-06
11.0,-129.3538400003043,2.0,456.81920914683883,183.5067687884536,1.399843576121328,4.051467111356174e-05,4.051467111356174e-05
12.0,-130.71799792520858,2.0,456.8020540680844,182.97959632156682,1.403397553940798,7.394903508815901e-06,7.394903508815901e-06
13.0,-130.96558524226603,2.0,456.79893796501113,182.46107914770326,1.4040494031732251,4.613599178154734e-06,4.613599178154734e-06
14.0,-131.11917931238344,2.0,456.797005915059,181.9389393881982,1.4044520510675949,1.6815001668035983e-05,1.6815001668035983e-05
15.0,-131.67575820160823,2.0,456.7899852990586,181.4476393482657,1.405906223393056,1.1708859940963158e-05,1.1708859940963158e-05
16.0,-132.06123863834185,2.0,456.78511798913144,180.91718793899034,1.4069218545627764,1.7871632842045678e-06,1.7871632842045678e-06
17.0,-132.1197340241911,2.0,456.7843744485086,180.44298708448446,1.4070770625476754,1.3325634386126152e-05,1.3325634386126152e-05
18.0,-132.5535953492562,2.0,456.7788538953951,179.95242693090913,1.4082362454065156,1.8405673958688474e-06,1.8405673958688474e-06
19.0,-132.6131978931677,2.0,456.77809487697175,179.4771945429232,1.408394892828349,4.58556405904576e-06,4.58556405904576e-06
20.0,-132.76090639548372,2.0,456.7762089194701,178.960203865023,1.4087904366027202,3.5631116782298234e-06,3.5631116782298234e-06
21.0,-132.8750201100212,2.0,456.7747440551635,178.44223572408634,1.4090980017246553,1.998179653278529e-05,1.998179653278529e-05
22.0,-133.51123587765954,2.0,456.7665336261956,177.95218228685096,1.4108266850397777,9.550714064787382e-06,9.550714064787382e-06
23.0,-133.81366968661223,2.0,456.76262666171846,177.43093432426272,1.4116465945612848,4.353683119457584e-06,4.353683119457584e-06
24.0,-133.95072943742522,2.0,456.76084409854695,176.95820105980692,1.4120166593771217,1.5679309071147653e-05,1.5679309071147653e-05
25.0,-134.44169188217077,2.0,456.75445203216685,176.4756715210598,1.4133378746373044,2.2788651228653617e-06,2.2788651228653617e-06
26.0,-134.51266361421418,2.0,456.7535255975959,175.96755445158922,1.4135281782476825,3.6808523913982816e-06,3.6808523913982816e-06
27.0,-134.62663842839993,2.0,456.752029732474,175.4559326895941,1.4138322445435811,5.222299517371246e-06,5.222299517371246e-06
28.0,-134.78740331161217,2.0,456.74990845423673,174.9948337306984,1.4142590601092302,2.9065747276011134e-05,2.9065747276011134e-05
29.0,-135.67741349566674,2.0,456.7381272173002,174.47126528604667,1.4166431686347525,5.197388769052178e-06,5.197388769052178e-06
30.0,-135.83562076619623,2.0,456.73603307096494,173.9640890288558,1.4170708654496196,6.0025041576331955e-06,6.0025041576331955e-06
31.0,-136.0172743931043,2.0,456.73361806700865,173.49208797534752,1.417565310376361,2.4357469098931637e-06,2.4357469098931637e-06
32.0,-136.09058864686565,2.0,456.7326430026705,173.01109753353165,1.417766132212128,1.7959423873820624e-05,1.7959423873820624e-05
33.0,-136.62813734094425,2.0,456.72557775186397,172.54769485323052,1.4192496696186319,1.1988897725193734e-05,1.1988897725193734e-05
34.0,-136.98506702244637,2.0,456.72087164826456,172.0829580526146,1.4202324295956719,1.8369106602569052e-06,1.8369106602569052e-06
35.0,-137.03946233596398,2.0,456.72015292393013,171.5936048763862,1.4203832124815523,1.320339356624542e-05,1.320339356624542e-05
36.0,-137.42821329311812,2.0,456.7150268320842,171.09073950750314,1.4214685046022484,3.255060034509772e-06,3.255060034509772e-06
37.0,-137.52349466429808,2.0,456.7137706530796,170.5918900380595,1.421733479949261,1.7126449849794725e-06,1.7126449849794725e-06
38.0,-137.57333511949585,2.0,456.71311200533927,170.08875507190194,1.4218729473939369,8.477214472134785e-06,8.477214472134785e-06
39.0,-137.81857658801434,2.0,456.70985684148104,169.622586562246,1.4225560864978652,1.6641912621324825e-06,1.6641912621324825e-06
40.0,-137.8664581755138,2.0,456.70922108416426,169.14345786954465,1.4226888774603383,3.543461724566865e-06,3.543461724566865e-06
41.0,-137.96783386295027,2.0,456.70789159036593,168.67593884054082,1.4229685647959065,2.8215984505572775e-05,2.8215984505572775e-05
42.0,-138.77055890788307,2.0,456.697366378894,168.16170826198072,1.4252028791553317,4.990738623162097e-07,4.990738623162097e-07
43.0,-138.78467187840468,2.0,456.69718175387385,167.70461127601212,1.4252420501202618,3.4874055818658023e-07,3.4874055818658023e-07
44.0,-138.79448013996242,2.0,456.69705342400766,167.2569737868308,1.425269427835426,1.572373988077892e-05,1.572373988077892e-05
45.0,-139.23433060332076,2.0,456.69128627261523,166.75041437174684,1.4264924076877834,1.1717430955231248e-05,1.1717430955231248e-05
46.0,-139.56013119305535,2.0,456.6870046556728,166.2477254783375,1.4273955162949605,6.32261975022392e-06,6.32261975022392e-06
47.0,-139.73487457522722,2.0,456.6847035704839,165.78478073589548,1.4278835921682278,2.3063040970095022e-05,2.3063040970095022e-05
48.0,-140.36871143575556,2.0,456.67635926961196,165.2818479486448,1.4296493547018605,6.847872497964192e-06,6.847872497964192e-06
49.0,-140.5557786091912,2.0,456.67390234569547,164.82602006818684,1.430175054467033,1.3849596757845592e-05,1.3849596757845592e-05
50.0,-140.93202437499403,2.0,456.66896038373795,164.33157790238496,1.43122868929517,2.2502511887369477e-06,2.2502511887369477e-06
51.0,-140.9927917234402,2.0,456.6681630724755,163.84068448366807,1.4314001200523851,5.195879139830649e-06,5.195879139830649e-06
52.0,-141.13226665812013,2.0,456.6663278900128,163.3397521688351,1.4317961954450178,4.880452487643759e-06,4.880452487643759e-06
53.0,-141.26247471812565,2.0,456.6646032152802,162.84360071611195,1.432168535366909,7.646947175332159e-06,7.646947175332159e-06
54.0,-141.46525235621695,2.0,456.6619118457813,162.41882992892138,1.4327457881120225,7.71818732038154e-06,7.71818732038154e-06
55.0,-141.66885277785684,2.0,456.6591971816357,161.92120861526993,1.4333293201273896,1.5163703732001897e-05,1.5163703732001897e-05
56.0,-142.06640511960953,2.0,456.6538864158021,161.4231527581914,1.4344780581227266,1.0879740101609208e-05,1.0879740101609208e-05
57.0,-142.34989460498304,2.0,456.6501084372804,160.98920082398172,1.4352946063163068,3.6810501056177834e-06,3.6810501056177834e-06
