iter,val,proj,gnorm,dnorm,step,maxstep
1.0,686.7253256636118,0.0,558.0603589369042,13.8918085624945,0.15698926282978845,1.0
2.0,268.906206829447,0.0,550.8992082224463,11.752868641946657,0.16077868161144246,1.0
3.0,-67.84771181132328,0.0,545.1376917084019,9.880773142665344,0.1663523664593493,1.0
4.0,-342.64910217956185,0.0,540.4912303865966,8.301481121698671,0.1760713293131035,1.0
5.0,-572.1316924370017,0.0,536.7218777834455,6.938992850631765,0.19249627504543326,1.0
6.0,-769.0594874075828,0.0,533.6494543910076,5.773297614787844,0.22157330110146992,1.0
7.0,-944.5117666323508,0.0,531.1398423672649,4.781273296613364,0.28147117948997163,1.0
8.0,-1111.7987399810463,0.0,529.1828032811642,3.829346670442309,0.3836182394473797,1.0
9.0,-1270.5092454317892,0.0,527.9169499234565,2.6192423905932207,0.46592873797231366,1.0
10.0,-1386.0241264598149,0.0,527.2527892085619,1.4818721022097268,0.5245447701363837,1.0
11.0,-1454.0376562036085,0.0,526.8599722191481,0.791335814106137,0.6127516225326971,1.0
12.0,-1491.3507449243014,0.0,526.6759502227503,0.3596665409611638,0.735500110535478,1.0
13.0,-1508.574763044598,0.0,526.5725110532417,0.14171780717932533,0.9692300965839402,1.0
14.0,-1514.55924297843,0.0,526.557767899798,0.060609047932996214,0.6210557942475677,1.0
15.0,-1514.6781269714102,0.0,526.5326351384006,0.05088140923022348,0.6024114551032081,1.0
16.0,-1514.7221807160909,0.0,526.5526842391506,0.04408058586600733,0.6756134269185191,1.0
17.0,-1514.7421351936669,0.0,526.5335935030878,0.04448951894824096,0.6282211076761596,1.0
18.0,-1514.748577309054,0.0,526.5519360059526,0.042263718418260036,0.6839351664783111,1.0
19.0,-1514.7515441685136,0.0,526.5338021030415,0.04390920738060509,0.6305925041452455,1.0
20.0,-1514.7528385836888,0.0,526.5517420338217,0.04211337311368473,0.68431232439863,1.0
21.0,-1514.7537206443083,0.0,526.5339570230042,0.043858784813859714,0.6305779814530108,1.0
22.0,-1514.7544071903117,0.0,526.5516186039141,0.0421007106603669,0.6841274533754778,1.0
23.0,-1514.7550455776345,0.0,526.5340887889745,0.043853666539314815,0.6304296062597823,1.0
