iter,val,proj,gnorm,dnorm,xnorm,step,maxstep
1.0,40.0,1.0,65.47228590788319,31.850406145772112,14.142135623730951,0.16246520543619627,0.16246520543619627
2.0,-98.24692904414144,19.0,61.14630575107858,19.612814101600918,14.621186357076672,7.526337942694926e-07,7.526337942694926e-07
3.0,-98.24721855392698,3.0,61.14629638384467,19.37313287290969,14.621190046918649,0.01654219973706722,0.01654219973706722
4.0,-104.36573984824986,19.0,60.94785295446164,16.887458119401078,14.705558123977035,8.921114178919689e-07,8.921114178919689e-07
5.0,-104.36599426593466,3.0,60.947844817509136,16.65389137596298,14.70556050050937,0.008444744503553517,0.008444744503553517
6.0,-106.68892459211781,2.0,60.873686648822066,16.26754165781292,14.726384860731807,0.0073716775821119195,0.0073716775821119195
7.0,-108.62582467918793,2.0,60.81181923897194,15.929321275727695,14.7449617525983,0.003729622900134124,0.003729622900134124
8.0,-109.56880616318068,2.0,60.78168803795703,15.711174978346229,14.754430926827743,0.002694012621823704,0.002694012621823704
9.0,-110.2320920068916,2.0,60.7604858318901,15.52776406489507,14.76130655569712,0.008115845617047842,0.008115845617047842
10.0,-112.17388247803649,2.0,60.698378645367136,15.19542842037389,14.782482055597871,0.009241243029285832,0.009241243029285832
11.0,-114.28894755340718,2.0,60.63080090589691,14.840741154681542,14.806017455786085,0.004716933043161988,0.004716933043161988
12.0,-115.3231629758767,2.0,60.597801470860034,14.621833306203378,14.817566719542624,0.0021795875494014885,0.0021795875494014885
13.0,-115.78818029332132,2.0,60.58298341745003,14.473434621623625,14.822672856045076,0.0012458163012515162,0.0012458163012515162
14.0,-116.0488441846847,2.0,60.574674927307676,14.35454632880464,14.825591443893893,0.009127390103426418,0.009127390103426418
15.0,-117.91310964853182,2.0,60.51531832630011,14.021327360119459,14.846520265863465,0.00974317944071303,0.00974317944071303
16.0,-119.81081590107374,2.0,60.45489870994468,13.68412587213693,14.869203261084204,0.0022260030729864826,0.0022260030729864826
17.0,-120.2267686669922,2.0,60.44165848303874,13.550043493422558,14.874344883568895,0.006393284784455026,0.006393284784455026
18.0,-121.39353564334414,2.0,60.404508027634535,13.313360721410891,14.889293817328946,0.003940670770810487,0.003940670770810487
19.0,-122.08942763169665,2.0,60.382350877751,13.145242763567017,14.898505929333416,0.013795386170908665,0.013795386170908665
20.0,-124.4423503718777,2.0,60.30754282834993,12.740635327953187,14.930349298799554,0.013201321287375537,0.013201321287375537
21.0,-126.55862599645968,2.0,60.24042077288988,12.364985452548494,14.95992640017626,0.0010280499246943643,0.0010280499246943643
22.0,-126.71565523501152,2.0,60.23545295198783,12.279631121373683,14.96209715406643,0.002023188392420987,0.002023188392420987
23.0,-127.02015148518615,2.0,60.22581746697017,12.173839123939112,14.966375272857006,0.001672421544692061,0.001672421544692061
24.0,-127.26761787687951,2.0,60.21799879629975,12.07456388699137,14.96977304138267,0.005574481105509792,0.005574481105509792
25.0,-128.076102384617,2.0,60.19245164672655,11.889067752572027,14.98119310242508,0.001576208779399552,0.001576208779399552
26.0,-128.29857197851317,2.0,60.18542372789214,11.79677141915937,14.984395050968557,0.0004665957791253718,0.0004665957791253718
