iter,val,proj,gnorm,dnorm,xnorm,step,maxstep
1.0,2.9999999999999716,1.0,466.01450839539615,201.49050043546515,1.2247448713915892,0.0034705150910149672,0.0034705150910149672
2.0,-136.3516795888622,2.0,464.1856381374778,196.56172477718866,1.4029125365921564,1.8238640361750826e-05,1.8238640361750826e-05
3.0,-137.05631669289136,2.0,464.1763727148585,196.0285519387512,1.4046685698805754,4.319173046228607e-07,4.319173046228607e-07
4.0,-137.07291404011391,2.0,464.1761538562052,195.51882649979208,1.4047102346819313,2.26544634710488e-05,2.26544634710488e-05
5.0,-137.9388786969167,2.0,464.16473011743614,194.98567988691974,1.4069009627013507,7.8903880109642e-06,7.8903880109642e-06
6.0,-138.23885925441448,2.0,464.16077121852805,194.46182186829517,1.4076663347526386,1.8809164274106442e-05,1.8809164274106442e-05
7.0,-138.9500934901457,2.0,464.15133889633614,193.93057078695176,1.4094769132467617,6.582037559764645e-07,6.582037559764645e-07
8.0,-138.97484786784082,2.0,464.15100967857546,193.42292346790563,1.4095397365519529,1.8907270534350754e-05,1.8907270534350754e-05
9.0,-139.6821729040207,2.0,464.14159884816735,192.89716949871615,1.4113292233586834,1.4591381861056218e-06,1.4591381861056218e-06
10.0,-139.73646619372917,2.0,464.1408766554278,192.38994032571924,1.411467599445472,2.7895353385880384e-06,2.7895353385880384e-06
11.0,-139.83971684873683,2.0,464.1395035572639,191.87746913522724,1.411732244027935,4.090567700561952e-05,4.090567700561952e-05
12.0,-141.34554792719322,2.0,464.1194699458092,191.35103340442467,1.4155898287289648,2.1775070883764416e-06,2.1775070883764416e-06
13.0,-141.4252772827901,2.0,464.11840921714884,190.8554029752376,1.415796062502335,4.262466154434632e-06,4.262466154434632e-06
14.0,-141.58053890441124,2.0,464.1163510048833,190.35031450855766,1.4161999977862447,1.4943537858488841e-06,1.4943537858488841e-06
15.0,-141.63468393587198,2.0,464.1156334728327,189.84589257821932,1.4163402227106223,2.6907280847936217e-06,2.6907280847936217e-06
16.0,-141.73166090010955,2.0,464.11434876029864,189.34093236378015,1.416590166914202,6.4697931326840676e-06,6.4697931326840676e-06
17.0,-141.96359826325005,2.0,464.1112839684227,188.86161736377335,1.4171916474970094,1.0880895110170125e-05,1.0880895110170125e-05
18.0,-142.3516926774019,2.0,464.10615418258635,188.35134423862257,1.4182050844013345,3.0839051749589626e-06,3.0839051749589626e-06
19.0,-142.46109696206764,2.0,464.1047134347816,187.87999847026512,1.4184926753629068,1.073422185430788e-05,1.073422185430788e-05
20.0,-142.83999057981106,2.0,464.0997205314895,187.35713898669997,1.4194951759552088,5.904295816319771e-07,5.904295816319771e-07
21.0,-142.8607162130888,2.0,464.09944620197365,186.89517493200879,1.4195503708359272,1.3611794443760008e-06,1.3611794443760008e-06
22.0,-142.90826174871484,2.0,464.0988155662384,186.38331492511603,1.419677654507984,1.058015081662135e-05,1.058015081662135e-05
23.0,-143.27579090556299,2.0,464.0939251693406,185.8994004730799,1.420668044776958,9.101871182158332e-07,9.101871182158332e-07
24.0,-143.3072455980827,2.0,464.09350664217936,185.4003723677886,1.4207524949012933,8.554293777297133e-06,8.554293777297133e-06
25.0,-143.60127714599932,2.0,464.0896094142979,184.88986338278022,1.4215386592482762,8.370825359865512e-06,8.370825359865512e-06
26.0,-143.8874202808046,2.0,464.08582708544577,184.41367965921557,1.4223011036346203,2.6330882162575085e-06,2.6330882162575085e-06
27.0,-143.97696668705277,2.0,464.08464314193037,183.94155618050826,1.4225387828480993,6.950446584254376e-06,6.950446584254376e-06
28.0,-144.21212651721504,2.0,464.08153350487316,183.4375822266288,1.4231668331395602,4.988778759734041e-06,4.988778759734041e-06
29.0,-144.37999309042024,2.0,464.0793224310786,182.96649393463252,1.4236133562385318,2.5117329037740344e-06,2.5117329037740344e-06
30.0,-144.46407706533768,2.0,464.0782142363366,182.49102681215015,1.4238360547886633,6.751958188390986e-08,6.751958188390986e-08
31.0,-144.46632566780875,2.0,464.07818459506154,182.0290334253299,1.4238420434248482,4.739124959385912e-06,4.739124959385912e-06
32.0,-144.6233522504345,2.0,464.0761112834051,181.51919854063328,1.4242626265065548,1.1729664296446307e-06,1.1729664296446307e-06
33.0,-144.66200043997497,2.0,464.0755999269223,181.00620535203643,1.4243667703368885,2.1332836057909967e-06,2.1332836057909967e-06
34.0,-144.73189327900974,2.0,464.07467090521436,180.49180935732167,1.4245541750516049,1.4052836386555657e-06,1.4052836386555657e-06
35.0,-144.77767341836716,2.0,464.07406040221366,180.02657422577704,1.4246763086511638,1.0745352049704052e-05,1.0745352049704052e-05
36.0,-145.12591414847702,2.0,464.0694064108017,179.5052872759979,1.4256017049691776,2.2105864668105168e-05,2.2105864668105168e-05
37.0,-145.8381643279596,2.0,464.0598682790802,179.01395169377645,1.4275114137162692,1.4780827504675758e-05,1.4780827504675758e-05
38.0,-146.31180914182556,2.0,464.05352472110627,178.52955884153084,1.4287796215097965,9.217907623208556e-07,9.217907623208556e-07
39.0,-146.3411891140886,2.0,464.0531311665547,178.07139870046433,1.4288580031507232,1.9699494283104093e-06,1.9699494283104093e-06
40.0,-146.40365469575082,2.0,464.0522930479034,177.56845518750146,1.4290238136574618,2.3126533923472796e-08,2.3126533923472796e-08
41.0,-146.40438388817836,2.0,464.05228324325117,177.11560366778062,1.4290257388187486,4.399816967016404e-06,4.399816967016404e-06
42.0,-146.54240401534514,2.0,464.0504218829579,176.6385327507493,1.4293922013641802,4.141038342203631e-06,4.141038342203631e-06
43.0,-146.67160762479043,2.0,464.04867912337994,176.13170475177586,1.429737435272538,7.429816784467137e-06,7.429816784467137e-06
44.0,-146.90209296486083,2.0,464.04556067092443,175.62170742569805,1.4303574984925114,4.423025185517881e-05,4.423025185517881e-05
45.0,-148.2661010512066,2.0,464.02706778668113,175.13100859126618,1.4340262652899511,1.3187092437203276e-06,1.3187092437203276e-06
46.0,-148.3065468487539,2.0,464.0265178380286,174.64321351975838,1.4341349846631977,2.0618044011122468e-06,2.0618044011122468e-06
47.0,-148.3694320089999,2.0,464.02566459184584,174.17870051516252,1.434305007094358,2.192585221313475e-06,2.192585221313475e-06
48.0,-148.43595069673955,2.0,464.0247619324268,173.68031592200288,1.4344839632837219,2.4721423149970697e-05,2.4721423149970697e-05
49.0,-149.18161244390257,2.0,464.01461245104616,173.19376335774626,1.4364843247271708,6.894469998494573e-06,6.894469998494573e-06
50.0,-149.38841515248643,2.0,464.0117973994251,172.7056977611496,1.4370439550346004,1.0889606180842339e-05,1.0889606180842339e-05
51.0,-149.71321147387704,2.0,464.0073910944593,172.21526543191732,1.437929316771379,1.0585352147184782e-05,1.0585352147184782e-05
52.0,-150.02714280393275,2.0,464.003152760414,171.7148619266644,1.4387916249187394,1.9857309603750513e-06,1.9857309603750513e-06
53.0,-150.0856937026748,2.0,464.0023611461583,171.2266516296416,1.4389535598912122,3.170805757742227e-05,3.170805757742227e-05
54.0,-151.01523928306017,2.0,463.9898229503663,170.74678878932218,1.4415190159547329,4.024226074922187e-06,4.024226074922187e-06
55.0,-151.13256201158873,2.0,463.9882405345413,170.25502210359645,1.4418422655267202,1.1837911316994444e-06,1.1837911316994444e-06
56.0,-151.16687617267144,2.0,463.987776517691,169.77294179608901,1.4419373910030981,1.1290324044126407e-05,1.1290324044126407e-05
57.0,-151.4922843775759,2.0,463.98339206813324,169.28225766477047,1.442835622467311,7.924815109161788e-07,7.924815109161788e-07
58.0,-151.51499405585233,2.0,463.9830876552511,168.83948912754178,1.4428980322878093,9.439053052229204e-06,9.439053052229204e-06
59.0,-151.7840633023453,2.0,463.9794799954815,168.34063303069485,1.4436422261192212,1.4254266092756247e-06,1.4254266092756247e-06
60.0,-151.82445767749275,2.0,463.9789376674913,167.89139907835303,1.4437534369587244,8.180818412200485e-06,8.180818412200485e-06
61.0,-152.05504893235394,2.0,463.9758431901527,167.4631544062058,1.4443923978575643,3.5670224440389783e-06,3.5670224440389783e-06
62.0,-152.1550811066333,2.0,463.9744958658212,166.97636008495533,1.444671348257548,1.9421331809231813e-05,1.9421331809231813e-05
63.0,-152.69653767355112,2.0,463.9672178918477,166.4674098705539,1.446193223934091,6.104904746750163e-06,6.104904746750163e-06
64.0,-152.86571001868938,2.0,463.96493658586417,165.97101090516293,1.446672642379977,6.253873502357877e-06,6.253873502357877e-06
65.0,-153.03797832982593,2.0,463.96260752793626,165.54131675771356,1.447158709823118,9.332365433000947e-06,9.332365433000947e-06
66.0,-153.29371464781326,2.0,463.9591432050154,165.0966832039233,1.4478852220241933,1.522202928010498e-06,1.522202928010498e-06
67.0,-153.33520501427031,2.0,463.95858080845477,164.6555866410037,1.448003859608647,1.0771476355829642e-05,1.0771476355829642e-05
68.0,-153.62722604478154,2.0,463.95462158672274,164.198972810469,1.4488355136392947,3.0125754368695026e-06,3.0125754368695026e-06
69.0,-153.70844826494078,2.0,463.95352092938543,163.7100897467678,1.4490659163435617,4.693861555523172e-07,4.693861555523172e-07
70.0,-153.72102826241255,2.0,463.9533498060556,163.2682077334962,1.449101820994687,6.111186921802884e-06,6.111186921802884e-06
71.0,-153.8839281578613,2.0,463.9511325736963,162.78359725517592,1.4495696367626068,1.0929201740063308e-06,1.0929201740063308e-06
72.0,-153.9128888070452,2.0,463.95073922035573,162.36328524802946,1.4496523987881975,3.4384264173415515e-07,3.4384264173415515e-07
73.0,-153.9219531211844,2.0,463.9506156410136,161.8810232043545,1.4496781668334124,1.8122525529795893e-05,1.8122525529795893e-05
74.0,-154.3968365506231,2.0,463.94415175364287,161.37565347093928,1.4510384590713634,7.665097864560253e-06,7.665097864560253e-06
75.0,-154.5964472103651,2.0,463.9414256971053,160.95629413529173,1.4516084172085295,9.57269217062874e-06,9.57269217062874e-06
76.0,-154.8444392153667,2.0,463.9380222641953,160.5209228005943,1.4523214627081966,8.703525266985641e-06,8.703525266985641e-06
77.0,-155.06869688246962,2.0,463.93493829955463,160.07408059688987,1.4529639277886037,1.2323576171744181e-05,1.2323576171744181e-05
78.0,-155.38446110598557,2.0,463.93059312800654,159.58100094700302,1.4538654421104442,2.0237763648039245e-07,2.0237763648039245e-07
79.0,-155.3896148711724,2.0,463.93052193509413,159.10033496945323,1.453880088523154,3.6400097659633823e-06,3.6400097659633823e-06
80.0,-155.48175313772893,2.0,463.9292479193122,158.6583202138138,1.4541435769628965,1.3266817457166772e-06,1.3266817457166772e-06
81.0,-155.51514885235667,2.0,463.92878585966673,158.24443857914932,1.4542385908641422,3.2383211368279205e-06,3.2383211368279205e-06
