iter,val,proj,gnorm,dnorm,step,maxstep
1.0,12.411349014534835,0.0,80.54889580839745,14.823133236699531,0.5004159686111093,1.0
2.0,-182.90326894372026,0.0,75.54672956933469,6.209541282384403,0.5036315437943402,1.0
3.0,-242.70416841129094,0.0,73.95061307883358,2.793309910362564,0.5214832805461758,1.0
4.0,-266.37055272394434,0.0,73.31244103784316,1.3531837570447025,0.6133941823500733,1.0
5.0,-278.0837026817115,0.0,72.99795417613778,0.7435930274556931,1.0,1.0
6.0,-285.12463576979457,0.0,72.81447322414215,0.5856926558629929,1.0,1.0
7.0,-285.4640337743692,0.0,72.81463714850685,0.5656962290816476,1.0,1.0
8.0,-285.78176733504534,0.0,72.8147639346548,0.5488902273565642,1.0,1.0
9.0,-286.08131136398833,0.0,72.8148802530479,0.5331796318973132,1.0,1.0
10.0,-286.3639063805022,0.0,72.81499026153436,0.5181671541106286,1.0,1.0
11.0,-286.6319052137608,0.0,72.81507517569969,0.5026603380318241,1.0,1.0
12.0,-286.8828404227062,0.0,72.81519430977166,0.48787061870686027,1.0,1.0
13.0,-287.1200895585189,0.0,72.81527199175613,0.472719572024948,1.0,1.0
14.0,-287.34225698838225,0.0,72.81536859476454,0.45405167121409884,1.0,1.0
15.0,-287.54565725338875,0.0,72.8154981441626,0.4371787999948531,1.0,1.0
16.0,-287.73572016339165,0.0,72.81557955541908,0.4215495774811449,1.0,1.0
17.0,-287.9125078042464,0.0,72.81567042052481,0.4032658719963722,1.0,1.0
18.0,-288.07382572070617,0.0,72.81576673570521,0.3829975200602808,1.0,1.0
19.0,-288.2189141779851,0.0,72.81586136029114,0.36333904221284513,1.0,1.0
20.0,-288.3502660460673,0.0,72.8159347089127,0.3425811431899002,1.0,1.0
21.0,-288.4663212579895,0.0,72.81604001462584,0.3196648151792199,1.0,1.0
22.0,-288.566978415981,0.0,72.81613763050319,0.29073853732859406,1.0,1.0
23.0,-288.64973566384157,0.0,72.81625140703626,0.2551847218047114,1.0,1.0
24.0,-288.7127936980765,0.0,72.8163690535233,0.2223992308820749,1.0,1.0
25.0,-288.76134821902485,0.0,72.81645626697832,0.17959275095118832,1.0,1.0
26.0,-288.7912820814678,0.0,72.81659617511419,0.12215020378792715,1.0,1.0
27.0,-288.80518347584416,0.0,72.8166959906464,0.03041849323113617,1.0,1.0
28.0,-288.80609652617545,0.0,72.8167342984411,1.634807283979938e-05,0.0,0.0
