0.08,17,0.0075,0.5911838509005942
0.08,17,0.01,0.5898897714092768
0.08,17,0.0125,0.5897784332412472
0.08,20,0.0075,0.5664799831830406
0.08,20,0.01,0.5661946771983696
0.08,20,0.0125,0.5658158103198608
0.08,22,0.0075,0.552317345257047
0.08,22,0.01,0.5506425328253653
0.08,22,0.0125,0.5520307296224904
0.09,17,0.0075,0.5414028577403562
0.09,17,0.01,0.5453733401158046
0.09,17,0.0125,0.5417715017743024
0.09,20,0.0075,0.5164160857140127
0.09,20,0.01,0.5158379683062094
0.09,20,0.0125,0.5157198450313791
0.09,22,0.0075,0.5023624252869184
0.09,22,0.01,0.5017190588922237
0.09,22,0.0125,0.5004884339298906
0.1,17,0.0075,0.49756998914216827
0.1,17,0.01,0.496991703058129
0.1,17,0.0125,0.49620631942358556
0.1,20,0.0075,0.4707890091786396
0.1,20,0.01,0.4723359351113697
0.1,20,0.0125,0.4712520500086328
0.1,22,0.0075,0.4562253106007985
0.1,22,0.01,0.45653458694400867
0.1,22,0.0125,0.4570039856096722
